nome,cpf,idade,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-01,92.0,"trevo emanuel silva, 482",vila tirol,AP
Calebe Santos,651.***.***-46,41.0,"recanto moraes, 7",ernesto nascimento,PB
Maria Julia Castro,164.***.***-43,78.0,"residencial de pereira, 20",jatobá,AL
Arthur Da Rosa,085.***.***-30,55.0,"parque almeida, 66",vila suzana segunda seção,SE
Juan Pereira,520.***.***-21,70.0,"rodovia de pereira, 51",estrela,BA
Dra. Ana Laura Ribeiro,210.***.***-20,71.0,esplanada lavínia ramos,são francisco,SP
Maria Clara Araújo,960.***.***-80,42.0,"praça cavalcanti, 65",conjunto celso machado,RO
Vitória Oliveira,302.***.***-83,32.0,"esplanada monteiro, 88",conjunto paulo vi,GO
Benjamin Oliveira,451.***.***-84,51.0,"ladeira monteiro, 57",vila primeiro de maio,CE
Pietro Barros,843.***.***-50,53.0,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,PB
Samuel Cavalcanti,520.***.***-01,91.0,"ladeira de porto, 38",nova america,TO
Ian Da Costa,384.***.***-78,25.0,"via de jesus, 57",vila da amizade,PB
Dr. Emanuel Costa,736.***.***-19,56.0,"lago castro, 94",mariano de abreu,RJ
Larissa Da Cruz,128.***.***-60,85.0,"setor isadora da rosa, 583",chácara leonina,RR
Diogo Carvalho,078.***.***-97,84.0,"viaduto pedro lucas cavalcanti, 49",tiradentes,RS
Sr. Anthony Almeida,305.***.***-60,39.0,"rua vitor hugo pinto, 21",anchieta,RJ
Clara Martins,397.***.***-86,78.0,"rodovia aragão, 245",conjunto lagoa,MG
Dr. Luiz Felipe Cardoso,374.***.***-20,71.0,"alameda de lima, 65",boa esperança,PE
Sr. Calebe Lopes,135.***.***-77,64.0,"trecho lucas sales, 24",dom bosco,RO
Miguel Monteiro,097.***.***-41,56.0,"passarela igor novaes, 89",pompéia,SE
Srta. Catarina Da Mata,468.***.***-57,84.0,"sítio luna carvalho, 98",novo santa cecilia,AM
João Gabriel Araújo,625.***.***-25,75.0,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,MT
Sr. Nicolas Azevedo,036.***.***-33,37.0,"estrada de aragão, 1",vila barragem santa lúcia,AC
Kamilly Caldeira,508.***.***-47,47.0,via gabriela nascimento,madre gertrudes,AP
Renan Araújo,186.***.***-57,80.0,"travessa vinicius da mata, 52",alta tensão 1ª seção,CE
Vicente Nascimento,054.***.***-32,65.0,largo vieira,milionario,DF
Isaac Rocha,873.***.***-69,59.0,"área lucas gabriel silveira, 51",anchieta,PE
Julia Das Neves,819.***.***-05,62.0,"jardim isabelly gomes, 23",nossa senhora de fátima,ES
Breno Rodrigues,196.***.***-34,97.0,distrito de silveira,dona clara,AM
Isabel Nogueira,968.***.***-65,65.0,travessa ana júlia da rocha,miramar,TO
Anthony Araújo,208.***.***-26,40.0,"avenida milena pires, 360",vila rica,AP
Sra. Marina Da Cunha,067.***.***-95,57.0,"rodovia marcelo souza, 25",estrela,RN
Helena Cardoso,853.***.***-39,53.0,"pátio alexandre teixeira, 243",indaiá,RR
Luigi Nunes,593.***.***-24,52.0,"via clara da rosa, 928",castelo,RR
Srta. Raquel Da Costa,278.***.***-09,60.0,"estação ribeiro, 46",venda nova,PB
Sra. Ana Vitória Oliveira,120.***.***-17,63.0,"sítio de cavalcanti, 97",juliana,PA
Luiza Campos,974.***.***-03,54.0,"condomínio de rodrigues, 52",conjunto providencia,SC
Lucca Da Paz,526.***.***-95,73.0,"rodovia vieira, 63",conjunto taquaril,RN
Nathan Da Rosa,907.***.***-25,34.0,"recanto de da conceição, 1",paraíso,AM
Lívia Silveira,804.***.***-85,63.0,"setor de azevedo, 375",castanheira,AL
Isabel Cavalcanti,492.***.***-04,56.0,"ladeira pietra cunha, 13",vista alegre,PA
Rafael Nunes,285.***.***-76,40.0,"vereda davi lucca barbosa, 35",estrela do oriente,GO
Elisa Fogaça,572.***.***-92,97.0,"rodovia ana júlia araújo, 68",vila real 2ª seção,PE
Agatha Ramos,948.***.***-85,26.0,"distrito de barros, 41",suzana,RJ
Kamilly Rocha,946.***.***-48,61.0,"feira campos, 17",cruzeiro,DF
Antônio Das Neves,435.***.***-82,42.0,"avenida vitor hugo cardoso, 34",vila são rafael,SC
Luiz Gustavo Alves,198.***.***-10,47.0,"rodovia de souza, 63",vila nova dos milionarios,MS
Emanuella Fernandes,097.***.***-96,89.0,"residencial ian da paz, 6",padre eustáquio,PR
Srta. Ana Beatriz Farias,431.***.***-39,64.0,"ladeira de da paz, 98",jardim dos comerciarios,PE
Yago Monteiro,865.***.***-00,46.0,"ladeira pereira, 21",buraco quente,BA
Yasmin Gonçalves,017.***.***-14,78.0,"área barros, 46",salgado filho,BA
Bruna Nascimento,132.***.***-52,36.0,"vereda luiz felipe costa, 70",minaslandia,DF
Davi Luiz Nogueira,873.***.***-50,99.0,"vila sales, 97",paquetá,ES
Ian Monteiro,324.***.***-91,26.0,"favela alana ribeiro, 318",casa branca,MS
Srta. Helena Silva,905.***.***-01,37.0,"parque freitas, 82",ouro minas,AC
Bárbara Novaes,038.***.***-15,90.0,"trecho bryan da cunha, 1",betânia,PA
Sr. Pedro Lucas Costela,534.***.***-00,32.0,esplanada moreira,pindura saia,ES
Rafael Jesus,673.***.***-80,24.0,"campo de barros, 16",silveira,DF
Sra. Alícia Caldeira,051.***.***-70,92.0,"distrito esther campos, 264",apolonia,PA
Danilo Martins,760.***.***-39,100.0,"largo pires, 78",bacurau,AP
Sr. Gabriel Da Rosa,530.***.***-53,51.0,campo isabelly freitas,novo santa cecilia,CE
Augusto Teixeira,412.***.***-16,71.0,favela maria novaes,savassi,RR
Ana Julia Da Rosa,630.***.***-65,44.0,"trevo moraes, 5",cônego pinheiro 1ª seção,SP
Lucca Barbosa,836.***.***-77,99.0,"rua mendes, 337",penha,SP
Amanda Da Costa,268.***.***-29,25.0,"lagoa cardoso, 1",ambrosina,SP
Dr. Francisco Cardoso,430.***.***-50,98.0,"lago maitê campos, 31",braúnas,TO
Lorena Farias,268.***.***-82,94.0,"residencial barbosa, 44",zilah sposito,AP
Anthony Da Costa,935.***.***-97,38.0,"recanto de rocha, 68",conjunto califórnia i,SE
Cauã Rodrigues,107.***.***-87,100.0,"vale gustavo henrique alves, 50",vila madre gertrudes 4ª seção,AL
Anthony Barbosa,631.***.***-00,88.0,vila farias,vila satélite,RN
Ana Julia Almeida,179.***.***-09,24.0,"fazenda de porto, 3",senhor dos passos,MA
Milena Barros,314.***.***-51,76.0,"setor miguel pires, 3",ermelinda,PA
Murilo Gomes,759.***.***-93,,morro de castro,vila pilar,SP
Daniel Barbosa,812.***.***-98,31.0,"praça ferreira, 764",vila sumaré,CE
Dr. Samuel Cardoso,039.***.***-96,48.0,"vereda cauê novaes, 14",conjunto califórnia ii,BA
Ana Laura Sales,863.***.***-22,80.0,"fazenda de pinto, 42",são jorge 1ª seção,PR
Mariana Cunha,492.***.***-25,83.0,"loteamento luiz felipe teixeira, 87",novo ouro preto,AM
Sr. João Guilherme Cavalcanti,347.***.***-70,40.0,"quadra emanuella da conceição, 29",cruzeiro,MS
Kamilly Rocha,365.***.***-10,65.0,"rodovia danilo costa, 17",alta tensão 2ª seção,MS
Gabriel Nunes,940.***.***-04,57.0,vila stephany lima,vista do sol,PA
Rafael Correia,579.***.***-05,74.0,"morro de cardoso, 47",marçola,SE
Ana Lívia Barbosa,925.***.***-60,64.0,lagoa sarah azevedo,monsenhor messias,CE
Maitê Teixeira,694.***.***-39,92.0,"loteamento oliveira, 29",camponesa 1ª seção,PE
Carlos Eduardo Santos,937.***.***-37,70.0,"largo nascimento, 97",delta,PR
Enzo Gabriel Araújo,349.***.***-96,72.0,Endereço inválido,Desconhecido,Desconhecido
Breno Moreira,184.***.***-49,41.0,"aeroporto de das neves, 7",vila sumaré,AL
Julia Lopes,106.***.***-31,49.0,"conjunto de cardoso, 5",vila minaslandia,PR
André Lima,645.***.***-70,81.0,viaduto cardoso,belmonte,RO
João Gabriel Barbosa,190.***.***-67,57.0,fazenda de barros,boa esperança,DF
,438.***.***-56,23.0,colônia maria vitória moura,aarão reis,GO
João Felipe Oliveira,830.***.***-00,44.0,avenida de cardoso,madre gertrudes,RN
