,nome,cpf,idade,data,endereco,estado,pais
0,Sr. Gael Henrique Nascimento,710.453.289-79,32,02/02/1994,"Avenida Pinto, 127
Califórnia
25146372 Abreu / PA",Alagoas,Brasil
1,Dr. Enzo Gabriel Souza,641.720.953-99,40,26/02/1985,"Lagoa de Gomes, 84
Jardinópolis
24286-428 Fernandes / RJ",Sergipe,Brasil
2,Sr. Luiz Henrique Mendonça,934.102.675-06,32,24/02/1994,"Área de da Luz, 46
Embaúbas
66081-632 da Costa / SC",Minas Gerais,Brasil
3,Dr. Valentim Borges,679.534.821-00,59,14/09/1966,"Campo Novaes, 90
São Geraldo
17549565 da Mota / RN",Amazonas,Brasil
4,Emanuelly Sá,428.097.153-60,53,10/12/1972,"Ladeira de Jesus, 699
Nova Granada
12175-726 Silva dos Dourados / SC",Amapá,Brasil
5,Davi Lucas Nunes,526.470.139-34,42,08/09/1983,"Favela Novaes, 39
Maria Helena
61456678 Peixoto das Flores / AL",Mato Grosso,Brasil
6,Miguel Pereira,138.725.960-12,28,25/06/1997,"Vereda Isaac da Conceição, 28
Vila Batik
75458-073 Novaes de Barbosa / MS",Pará,Brasil
7,Davi Lucca Borges,285.967.304-00,30,17/01/1996,"Via Costela, 4
Vila Ipiranga
39762610 Oliveira / AM",Paraíba,Brasil
8,Zoe Camargo,478.902.615-94,34,03/03/1991,"Colônia de Casa Grande, 5
Vila Puc
39754-943 Montenegro / TO",São Paulo,Brasil
9,Brenda Carvalho,647.125.903-43,49,09/03/1976,"Viaduto de Sales, 28
Flavio De Oliveira
81244-100 Sá de da Costa / BA",Goiás,Brasil
