state_name,First_name,Gender,Job_Title,Id_client,Total_Purchases,Total_Spent
IL,Jacob,Male,Teacher,118,3,211.0
GA,Portie,Female,Teacher,117,3,312.0
CA,Marten,Non-binary,Web Developer IV,116,3,187.0
AZ,Ralf,Female,Senior Quality Engineer,115,3,235.0
IN,Lennard,Female,Administrative Assistant II,114,3,76.0
DC,Bartolomeo,Male,Executive Secretary,113,3,188.0
TX,Ingemar,Genderqueer,Account Coordinator,112,3,136.0
OR,Scott,Female,Civil Engineer,40,3,201.0
MA,Codie,Female,Financial Analyst,39,3,310.0
PA,Rab,Male,Assistant Manager,38,3,321.0
ND,Cornie,Genderqueer,Editor,37,3,166.0
DC,Reuven,Female,Media Manager IV,162,2,117.0
NC,Dietrich,Male,Paralegal,161,2,105.0
IL,Godard,Female,Senior Editor,160,2,126.0
PA,Adolphe,Female,Database Administrator II,159,2,198.0
IL,Jarib,Genderfluid,Food Chemist,158,2,280.0
TX,Dale,Female,Senior Cost Accountant,157,2,176.0
FL,Ross,Male,Senior Financial Analyst,156,2,227.0
DC,Karlens,Male,Desktop Support Technician,155,2,193.0
NJ,Talbot,Male,VP Marketing,154,2,154.0
TN,Nial,Male,Help Desk Technician,153,2,226.0
HI,Teador,Female,Assistant Media Planner,152,2,232.0
KS,Cornie,Male,Engineer II,151,2,213.0
DC,Boothe,Male,Marketing Manager,150,2,114.0
TX,Raynard,Female,Environmental Specialist,149,2,67.0
ID,Harold,Female,Sales Associate,148,2,121.0
MA,Claiborne,Female,Dental Hygienist,147,2,61.0
FL,Con,Male,Operator,146,2,151.0
NJ,Justino,Female,Teacher,145,2,107.0
UT,Teddy,Male,Payment Adjustment Coordinator,144,2,87.0
CA,Trip,Female,Data Coordinator,143,2,128.0
TX,Raimondo,Male,Administrative Assistant IV,142,2,182.0
OH,Britt,Male,Accounting Assistant III,141,2,262.0
PA,Baron,Female,Safety Technician III,140,2,6.0
MA,Reilly,Female,Nurse,139,2,169.0
OR,Obadiah,Male,Office Assistant II,138,2,63.0
IN,Swen,Agender,Pharmacist,137,2,81.0
DC,Saul,Female,VP Marketing,124,2,171.0
VA,Ross,Male,Analog Circuit Design manager,123,2,135.0
KS,Inigo,Female,Programmer Analyst II,122,2,145.0
OH,Bartel,Female,Actuary,121,2,250.0
NY,Dougy,Male,Computer Systems Analyst IV,120,2,91.0
NC,Joaquin,Male,Product Engineer,119,2,263.0
VA,Adams,Female,Clinical Specialist,111,2,139.0
TX,Yehudi,Genderfluid,Project Manager,110,2,131.0
OH,Kyle,Male,Actuary,109,2,185.0
NC,Turner,Female,Developer IV,108,2,95.0
WA,Titos,Male,Nuclear Power Engineer,107,2,27.0
IN,Vassili,Male,Chemical Engineer,106,2,174.0
TX,Christoph,Female,Quality Control Specialist,105,2,147.0
MN,Tynan,Male,VP Sales,104,2,112.0
NY,Finley,Male,Associate Professor,103,2,125.0
NY,Mendy,Male,Web Designer III,102,2,126.0
CA,Blayne,Female,Software Engineer IV,101,2,249.0
AL,Renault,Agender,Biostatistician IV,100,2,200.0
FL,Siegfried,Female,VP Product Management,79,2,96.0
DC,Zeke,Female,Research Associate,78,2,193.0
CT,Codie,Female,Media Manager I,77,2,189.0
TX,Raul,Male,Speech Pathologist,76,2,117.0
LA,Dionysus,Female,Legal Assistant,75,2,232.0
NE,Galvan,Male,Teacher,74,2,72.0
DC,Rafe,Genderfluid,Senior Editor,73,2,98.0
TX,Allistir,Female,Chief Design Engineer,72,2,137.0
CA,Neil,Female,Geologist IV,71,2,180.0
PA,Bordie,Male,Sales Associate,70,2,45.0
CA,Domingo,Female,Recruiter,69,2,203.0
OR,Matteo,Bigender,Social Worker,68,2,118.0
KY,Cornelius,Male,Recruiting Manager,67,2,125.0
LA,Lazare,Male,Associate Professor,66,2,148.0
CA,Wolf,Male,Recruiting Manager,65,2,104.0
SD,Lucio,Female,Web Developer IV,64,2,241.0
AR,Fons,Female,Senior Developer,63,2,54.0
